nimi;Aeg;klikke;Laua suurus;Mängu aeg
Unkakunn;22;21;12;2025-06-09 18:07:38
Tarmo Kõuts;23;18;12;2025-06-09 18:10:54
Oinas;16;18;12;2025-06-09 18:19:35
Jack Sparrow;21;18;10;2025-06-11 17:58:18
Tarmo Kõuts;24;18;10;2025-06-11 18:26:53
Kapten Nemo;21;23;10;2025-06-11 18:29:47
Ants;20;18;10;2025-06-11 18:31:51
Mina Ise;16;18;10;2025-06-11 18:42:50
Elon Musk;22;23;10;2025-06-11 18:44:58
Donald Trump;26;18;10;2025-06-11 18:46:23
Siil Udus;20;18;14;2025-06-11 18:48:38
Victor Orban;21;25;10;2025-06-11 18:55:00
Merekapten;18;26;15;2025-06-11 19:27:32
Merekapten;25;25;10;2025-06-11 19:28:55
Oinas Olen;14;18;13;2025-06-11 19:41:07
Mina Siin;19;18;13;2025-06-11 19:42:06
Mis Siis Ikka;20;22;10;2025-06-11 19:43:29
Metskapten;21;18;10;2025-06-26 21:24:26
Lihtaslt Madrus;18;19;11;2025-06-26 21:26:06
Tegin Sohki;10;17;10;2025-06-29 16:07:07
Juhan Parts;14;17;14;2025-06-29 16:51:47
Mihkel Kukk;12;18;11;2025-06-29 16:54:27
Lammas Olen;19;18;12;2025-06-29 17:16:49
Mina Siin;11;18;10;2025-06-29 17:22:28
Ausalt Mängitud;120;140;12;2025-06-29 17:53:12
